5007	2251
4458	1855
1855	4458
5061	3077
3077	5061
2037	754
754	2037
3441	3229
3229	3441
3844	4645
4645	3844
1415	1605
1605	1415
2133	2857
2857	2133
1786	2937
2937	1786
5190	746
746	5190
1074	1533
1533	1074
789	1642
1642	789
2536	1605
1605	2536
352	518
518	352
3756	4225
4225	3756
651	4838
4838	651
2719	4672
4672	2719
492	831
831	492
2798	1311
1311	2798
2424	3447
3447	2424
1786	2045
2045	1786
5034	149
149	5034
2440	1855
1855	2440
1386	2972
2972	1386
5029	1898
1898	5029
2689	754
754	2689
1228	3853
3853	1228
2424	4932
4932	2424
1837	3888
3888	1837
2504	2503
2503	2504
78	4565
4565	78
4481	3184
3184	4481
5190	1078
1078	5190
2045	3888
3888	2045
197	4246
4246	197
3756	4634
4634	3756
2484	4458
4458	2484
892	4565
4565	892
3888	1605
1605	3888
5340	1228
1228	5340
4887	3077
3077	4887
2719	4119
4119	2719
789	1939
1939	789
347	1764
1764	347
2388	3441
3441	2388
762	1258
1258	762
1955	3814
3814	1955
4533	1939
1939	4533
973	113
113	973
545	2619
2619	545
672	3874
3874	672
1389	3599
3599	1389
1386	817
817	1386
3303	1935
1935	3303
4701	194
194	4701
2508	1605
1605	2508
4928	2206
2206	4928
2719	3486
3486	2719
4568	1314
1314	4568
2689	2536
2536	2689
1910	672
672	1910
347	831
831	347
5323	3979
3979	5323
149	970
970	149
3229	859
859	3229
2447	2937
2937	2447
358	2388
2388	358
5007	514
514	5007
2371	2206
2206	2371
1584	2619
2619	1584
2783	762
762	2783
2035	3853
3853	2035
2206	2037
2037	2206
4186	1855
1855	4186
5235	5191
5191	5235
3486	4494
4494	3486
1093	2738
2738	1093
3346	5235
5235	3346
910	3583
3583	910
926	4077
4077	926
2536	888
888	2536
2133	3829
3829	2133
859	2447
2447	859
3486	1460
1460	3486
500	3275
3275	500
746	1786
1786	746
1764	1786
1786	1764
3835	5265
5265	3835
3543	3993
3993	3543
3864	1093
1093	3864
817	2035
2035	817
1764	746
746	1764
1257	3863
3863	1257
5061	817
817	5061
3316	4401
4401	3316
3416	78
78	3416
3234	1074
1074	3234
518	726
726	518
4500	2440
2440	4500
3447	2037
2037	3447
3888	1120
1120	3888
3416	1953
1953	3416
2536	2206
2206	2536
4161	5191
5191	4161
208	2133
2133	208
3303	941
