S000004166	S000004088	2.28E-01
S000001742	S000001526	2.28E-01
S000004088	S000000253	2.28E-01YBL103C
S000001249	S000002450	2.28E-01
S000005160	S000001595	2.27E-01
S000006308	S000005468	2.26E-01
S000004121	S000000735	2.26E-01
S000001545	S000002264	2.26E-01
S000002667	S000000253	2.26E-01
S000003625	S000001873	2.25E-01
S000001742	S000002871	2.25E-01
S000005258	S000000444	2.25E-01
S000001012	S000000253	2.25E-01
S000006010	S000003821	2.25E-01
S000005111	S000000963	2.25E-01
S000001393	S000002829	2.24E-01
S000003592	S000002450	2.23E-01
S000006010	S000002981	2.23E-01
S000005111	S000004640	2.23E-01
S000005688	S000000386	2.23E-01
S000004088	S000000444	2.23E-01
S000005639	S000005468	2.22E-01
S000004645	S000003625	2.22E-01
S000005143	S000002718	2.22E-01
S000005554	S000004645	2.22E-01
S000001503	S000003039	2.22E-01
S000004166	S000004121	2.22E-01
S000002667	S000002553	2.21E-01
S000002831	S000002553	2.21E-01
S000001456	S000001873	2.21E-01
S000004003	S000002214	2.20E-01
S000004640	S000003592	2.20E-01
S000005143	S000004088	2.20E-01
S000001498	S000003646	2.20E-01
S000005899	S000004489	2.20E-01
S000005871	S000001526	2.20E-01
S000005639	S000004088	2.20E-01
S000004489	S000003646	2.20E-01
S000005160	S000001873	2.20E-01
S000006403	S000006123	2.20E-01
S000003003	S000000971	2.19E-01
S000005871	S000003646	2.19E-01
S000001221	S000002530	2.19E-01
S000001503	S000002553	2.19E-01
S000004515	S000000101	2.19E-01
S000001503	S000000253	2.19E-01
S000004166	S000003646	2.19E-01
S000006010	S000003625	2.19E-01
S000001393	S000000963	2.19E-01
S000004166	S000001019	2.18E-01
S000004515	S000001393	2.18E-01
S000005047	S000001457	2.18E-01
S000005143	S000000963	2.18E-01
S000004088	S000002214	2.18E-01YNL068C
S000006010	S000002624	2.18E-01
S000005899	S000002871	2.17E-01
S000005959	S000005258	2.17E-01
S000003821	S000001456	2.17E-01
S000001515	S000003003	2.17E-01
S000004003	S000001249	2.17E-01
S000006169	S000002624	2.16E-01
S000006010	S000002667	2.16E-01
S000002450	S000000253	2.16E-01
S000003646	S000001456	2.16E-01
S000001393	S000001012	2.16E-01
S000001298	S000002553	2.16E-01
S000006308	S000002553	2.14E-01
S000005996	S000004121	2.14E-01
S000005143	S000003039	2.14E-01
S000001393	S000003003	2.13E-01
S000001456	S000000253	2.13E-01
S000005639	S000002214	2.13E-01
S000004515	S000001457	2.13E-01
S000001126	S000000101	2.13E-01
S000004515	S000002831	2.13E-01
