S000000285	SPT7	YBR081C
S000000286	UBC4	YBR082C
S000000287	TEC1	YBR083W
S000000288	MIS1	YBR084W
S000000289	AAC3	YBR085W
S000000290	IST2	YBR086C
S000000291	RFC5	YBR087W
S000000292	POL30	YBR088C
S000000293		YBR089W
S000000294		YBR090C
S000000295	TIM12	YBR091C
S000000296	PHO3	YBR092C
S000000297	PHO5	YBR093C
S000000298	PBY1	YBR094W
S000000299	RXT2	YBR095C
S000000300		YBR096W
S000000301	VPS15	YBR097W
S000000302	MMS4	YBR098W
S000000303		YBR099C
S000000304		YBR100W
S000000305	FES1	YBR101C
S000000306	EXO84	YBR102C
S000000307	SIF2	YBR103W
S000000308	YMC2	YBR104W
S000000309	VID24	YBR105C
S000000310	PHO88	YBR106W
S000000311	IML3	YBR107C
S000000312	AIM3	YBR108W
S000000313	CMD1	YBR109C
S000000314	ALG1	YBR110W
S000000315	YSA1	YBR111C
S000000316	CYC8	YBR112C
S000000317		YBR113W
S000000318	RAD16	YBR114W
S000000319	LYS2	YBR115C
S000000320		YBR116C
S000000321	TKL2	YBR117C
S000000322	TEF2	YBR118W
S000000323	MUD1	YBR119W
S000000324	CBP6	YBR120C
S000000325	GRS1	YBR121C
S000000326	MRPL36	YBR122C
S000000327	TFC1	YBR123C
S000000328		YBR124W
S000000329	PTC4	YBR125C
S000000330	TPS1	YBR126C
S000000331	VMA2	YBR127C
S000000332	ATG14	YBR128C
S000000333	OPY1	YBR129C
S000000334	SHE3	YBR130C
S000000335	CCZ1	YBR131W
S000000336	AGP2	YBR132C
S000000337	HSL7	YBR133C
S000000338		YBR134W
S000000339	CKS1	YBR135W
S000000340	MEC1	YBR136W
S000000341		YBR137W
S000000342		YBR138C
S000000343		YBR139W
S000000344	IRA1	YBR140C
S000000345	BMT2	YBR141C
S000000346	MAK5	YBR142W
S000000347	SUP45	YBR143C
S000000348		YBR144C
S000000349	ADH5	YBR145W
S000000350	MRPS9	YBR146W
S000000351	RTC2	YBR147W
S000000352	YSW1	YBR148W
S000000353	ARA1	YBR149W
S000000354	TBS1	YBR150C
S000000355	APD1	YBR151W
S000000356	SPP381	YBR152W
S000000357	RIB7	YBR153W
S000000358	RPB5	YBR154C
S000000359	CNS1	YBR155W
S000000360	SLI15	YBR156C
S000000361	ICS2	YBR157C
S000000362	AMN1	YBR158W
S000000363	IFA38	YBR159W
S000000364	CDC28	YBR160W
S000000365	CSH1	YBR161W
S000000366	TOS1	YBR162C
S000000367	EXO5	YBR163W
S000000368	ARL1	YBR164C
S000000369	UBS1	YBR165W
